,sales_price,timestamp,bids_count,sales_count,parcels_count,status (label),mana_price,land_price,mean_latitude,mean_longitude,road,district,plaza
0,6549.0,23/01/2022,3,3,1,parcel,2.1191673192784792,13878.426773954761,21.0,68.0,8,3,10
1,5387.000000000001,01/02/2022,0,1,1,parcel,2.697334799791993,14530.54256647947,-17.0,40.0,1,10,10
2,5299.000000000001,21/01/2022,0,1,1,parcel,2.6360883603314003,13968.632221396092,-76.0,-44.0,5,10,7
3,8887.0,03/02/2022,0,2,4,road,2.559175162581649,22743.389669863118,-63.75,57.75,3,5,10
4,11999.000000000002,09/01/2022,0,2,2,road,2.954629844358916,35452.60350246264,2.5,-36.0,1,10,10
5,4888.0,03/01/2022,2,1,1,parcel,3.3512812933629488,16381.062961958096,21.0,-58.0,1,10,10
6,4800.0,20/01/2022,3,5,1,parcel,2.743729245505247,13169.900378425187,36.0,-89.0,1,10,10
7,5999.000000000001,09/02/2022,0,2,1,parcel,3.3539721443673747,20120.478894059885,52.0,111.0,7,9,10
8,5349.0,26/01/2022,0,1,4,road,2.1741773039497394,11629.674398827156,26.25,-40.25,6,7,10
9,6444.000000000001,04/02/2022,0,1,2,road,2.827924994351074,18223.14866359832,13.0,-102.5,10,10,10
10,31999.0,28/01/2022,3,2,4,land,2.26664990562353,72530.53033004733,-5.5,24.5,10,10,10
11,5198.000000000001,08/02/2022,0,2,2,road,3.3015594156099715,17161.505842340637,38.0,65.0,2,4,10
12,4100.0,01/01/2022,0,1,2,road,3.2837753609862053,13463.478980043443,138.5,-17.0,10,10,10
13,6490.0,19/01/2022,0,2,1,parcel,2.8616232703619104,18571.935024648803,-43.0,27.0,10,10,10
14,5491.000000000001,24/01/2022,0,2,1,parcel,2.1191673192784792,11636.347750158131,-139.0,-40.0,3,10,10
15,4799.000000000001,27/12/2021,0,2,3,road,3.7605323255684633,18046.79463040306,-25.33,39.67,1,10,10
16,9000.0,31/01/2022,1,1,11,road,2.838711845336331,25548.406608026984,-14.45,22.18,1,5,2
17,4511.000000000001,05/01/2022,0,1,3,road,2.9390688380014987,13258.139528224763,140.33,-57.67,8,1,10
18,95.0,13/01/2022,0,1,1,parcel,3.10225498674441,294.7142237407189,-15.0,-115.0,1,10,10
19,7420.000000000001,14/02/2022,1,1,1,parcel,2.8450160166572074,21110.01884359648,-100.0,20.0,4,10,10
20,4180.0,22/12/2021,0,1,1,parcel,3.302356930069449,13803.8519676903,123.0,-17.0,10,10,10
21,8550.000000000002,25/01/2022,2,1,1,parcel,2.097272260649448,17931.677828552783,132.0,-37.0,10,1,10
22,7995.000000000001,29/12/2021,1,3,1,parcel,3.381781434798159,27037.342571211284,-65.0,130.0,10,8,10
23,56.00000000000001,17/01/2022,0,1,1,parcel,3.124674912948848,174.98179512513548,-50.0,-140.0,10,10,10
24,111111.00000000001,04/01/2022,7,3,7,road,3.2654965487737213,362832.587030797,-14.29,-0.43,1,2,3
25,7000.000000000001,06/02/2022,0,1,1,parcel,3.047315041602274,21331.20529121592,44.0,81.0,7,10,9
26,5149.0,14/01/2022,1,1,1,parcel,2.9626491224649576,15254.68033157207,-26.0,-41.0,8,10,10
27,6543.000000000001,24/12/2021,4,4,1,parcel,3.698074237180769,24196.49973387377,74.0,-146.0,10,7,10
28,24000.0,22/01/2022,3,2,4,land,2.2301581473863834,53523.7955372732,-5.5,24.5,10,10,10
29,25500.000000000004,12/01/2022,10,2,11,road,2.943249112150101,75052.8523598276,-14.45,22.18,1,5,2
30,3920.0000000000005,25/12/2021,0,2,5,road,3.772988799640287,14790.116094589928,8.6,-113.4,3,5,6
31,8000.000000000001,31/12/2021,5,2,15,road,3.297564315644028,26380.514525152226,-24.93,-44.33,1,3,2
32,4900.0,15/01/2022,0,2,1,parcel,2.9998911780482875,14699.466772436612,40.0,-120.0,2,10,10
33,4288.0,07/01/2022,0,1,1,parcel,3.3829650695793463,14506.154218356238,144.0,-23.0,5,10,10
34,4850.0,10/01/2022,0,3,3,road,2.955280483500563,14333.110344977731,-56.33,-38.33,10,2,10
35,7700.000000000001,11/01/2022,4,4,3,road,2.832719320096719,21811.938764744733,-95.67,-21.33,1,1,10
36,4879.000000000001,29/01/2022,3,3,1,parcel,2.3763648429587017,11594.284068795509,-100.0,-150.0,10,10,10
37,5420.0,09/01/2022,0,1,1,parcel,2.954629844358916,16014.093756425325,17.0,62.0,10,10,10
38,5286.000000000001,21/01/2022,1,1,1,parcel,2.6360883603314003,13934.363072711785,-65.0,110.0,4,8,10
39,5800.0,01/02/2022,5,7,1,parcel,2.697334799791993,15644.54183879356,61.0,-122.0,4,10,10
40,5750.000000000001,24/01/2022,2,4,2,road,2.1191673192784792,12185.212085851257,-43.5,-104.5,10,10,10
41,6500.000000000001,23/01/2022,1,1,1,parcel,2.0414460677600186,13269.399440440122,17.0,-25.0,10,10,10
42,5000.0,26/01/2022,4,2,4,road,2.1741773039497394,10870.886519748698,26.25,-40.25,6,7,10
43,9999.000000000002,04/02/2022,4,1,1,parcel,2.827924994351074,28276.42201851639,14.0,49.0,10,2,10
44,5268.0,19/01/2022,0,1,1,parcel,2.8616232703619104,15075.031388266545,-41.0,125.0,1,5,10
45,8888.0,03/02/2022,13,9,4,road,2.559175162581649,22745.948845025698,-63.75,57.75,3,5,10
46,6540.000000000001,02/01/2022,1,2,1,parcel,3.3512812933629488,21917.379658593683,43.0,-113.0,10,10,10
47,4420.0,01/01/2022,1,1,1,parcel,3.2837753609862053,14514.28709555903,63.0,-30.0,8,10,10
48,5000.0,20/01/2022,0,2,1,parcel,2.743729245505247,13718.646227526235,-101.0,-63.0,10,10,10
49,5188.0,14/01/2022,0,3,1,parcel,2.9626491224649576,15370.223647348203,25.0,-96.0,1,10,10
50,8888.0,09/02/2022,0,1,1,parcel,3.3539721443673747,29810.10441913723,-2.0,-58.0,10,10,10
51,5039.000000000001,22/01/2022,0,1,1,parcel,2.2301581473863834,11237.766904679987,-99.0,-150.0,10,10,10
52,4497.0,22/12/2021,2,1,1,parcel,3.302356930069449,14850.699114522313,-138.0,-41.0,2,10,10
53,3900.0000000000005,05/01/2022,2,3,1,parcel,3.1944964852537963,12458.536292489807,-142.0,-117.0,10,10,10
54,5888.0,31/01/2022,2,3,1,parcel,2.838711845336331,16714.335345340318,-142.0,-117.0,10,10,10
55,19500.000000000004,28/01/2022,5,2,4,land,2.26664990562353,44199.67315965884,40.5,126.5,4,7,10
56,30000.000000000004,06/02/2022,1,1,5,land,3.047315041602274,91419.4512480682,43.6,79.8,5,10,7
57,4280.0,25/12/2021,0,2,1,parcel,3.772988799640287,16148.392062460429,121.0,-6.0,4,6,10
58,5388.0,08/02/2022,0,2,1,parcel,3.3015594156099715,17788.802131306526,133.0,6.0,5,1,10
59,4300.0,27/12/2021,2,3,1,parcel,3.7605323255684633,16170.288999944392,-54.0,-15.0,2,9,10
60,5188.0,31/12/2021,0,1,2,road,3.297564315644028,17107.76366956122,-19.5,-139.0,10,10,5
61,4099.000000000001,29/12/2021,1,3,2,road,3.381781434798159,13861.922101237655,-144.5,-125.0,10,10,10
62,4100.0,04/01/2022,1,1,1,parcel,3.2654965487737213,13388.535849972259,55.0,-33.0,3,10,10
63,5900.0,11/01/2022,1,3,1,parcel,2.943249112150101,17365.169761685596,147.0,-25.0,2,10,10
64,4977.0,13/01/2022,1,2,1,parcel,3.10225498674441,15439.92306902693,-6.0,-113.0,3,10,10
65,10000.0,07/01/2022,1,1,2,road,3.3829650695793463,33829.65069579347,120.5,-36.0,1,2,10
66,6789.0,24/12/2021,1,2,1,parcel,3.698074237180769,25106.22599622024,-85.0,-14.0,1,9,3
67,15000.000000000002,29/01/2022,0,1,2,road,2.3763648429587017,35645.47264438053,2.5,63.0,10,10,10
68,30000.000000000004,11/01/2022,1,1,6,land,2.832719320096719,84981.57960290156,-88.5,-94.67,10,10,10
69,6333.0,15/01/2022,3,2,2,road,2.9998911780482875,18998.310830579812,-133.5,-2.5,10,4,10
70,5479.000000000001,25/01/2022,3,3,1,parcel,2.097272260649448,11490.954716098327,55.0,-7.0,3,10,10
71,53000.0,22/12/2021,2,1,2,land,3.3014533515725324,174977.0276333442,35.5,-2.0,1,10,10
72,43000.00000000001,10/01/2022,3,2,9,land,2.955280483500563,127077.06079052422,14.0,87.0,10,10,10
73,4288.0,06/01/2022,0,1,1,parcel,3.3829650695793463,14506.154218356238,147.0,-24.0,2,10,10
74,5298.0,21/01/2022,1,1,1,parcel,2.6360883603314003,13965.996133035758,-79.0,-47.0,5,10,7
75,6750.000000000001,02/01/2022,1,3,1,parcel,3.3512812933629488,22621.148730199908,-54.0,80.0,1,10,8
76,5678.000000000001,23/01/2022,0,1,1,parcel,2.0414460677600186,11591.330772741389,13.0,61.0,10,10,10
77,1000.0000000000001,01/02/2022,0,1,3,road,2.697334799791993,2697.3347997919936,22.33,-27.0,10,9,10
78,4500.0,01/01/2022,0,3,3,road,3.2837753609862053,14776.989124437925,-56.33,-38.33,10,2,10
79,5169.0,14/02/2022,0,1,1,parcel,2.8450160166572074,14705.887790101104,40.0,-58.0,3,10,10
